PERMNO,date,TICKER,COMNAM,PERMCO,CUSIP,PRC,RET
11850,20060316,XOM,EXXON MOBIL CORP,20678,30231G10,61.64000,0.010161
11850,20060317,XOM,EXXON MOBIL CORP,20678,30231G10,61.05000,-0.009572
11850,20060320,XOM,EXXON MOBIL CORP,20678,30231G10,60.66000,-0.006388
11850,20060321,XOM,EXXON MOBIL CORP,20678,30231G10,60.72000,0.000989
11850,20060322,XOM,EXXON MOBIL CORP,20678,30231G10,61.05000,0.005435
11850,20060323,XOM,EXXON MOBIL CORP,20678,30231G10,61.25000,0.003276
11850,20060324,XOM,EXXON MOBIL CORP,20678,30231G10,61.17000,-0.001306
11850,20060327,XOM,EXXON MOBIL CORP,20678,30231G10,61.29000,0.001962
11850,20060328,XOM,EXXON MOBIL CORP,20678,30231G10,60.95000,-0.005547
11850,20060329,XOM,EXXON MOBIL CORP,20678,30231G10,61.28000,0.005414
11850,20060330,XOM,EXXON MOBIL CORP,20678,30231G10,61.12000,-0.002611
11850,20060331,XOM,EXXON MOBIL CORP,20678,30231G10,60.86000,-0.004254
11850,20060403,XOM,EXXON MOBIL CORP,20678,30231G10,61.03000,0.002793
11850,20060404,XOM,EXXON MOBIL CORP,20678,30231G10,61.75000,0.011797
11850,20060405,XOM,EXXON MOBIL CORP,20678,30231G10,62.16000,0.006640
11850,20060406,XOM,EXXON MOBIL CORP,20678,30231G10,62.09000,-0.001126
11850,20060407,XOM,EXXON MOBIL CORP,20678,30231G10,61.33000,-0.012240
11850,20060410,XOM,EXXON MOBIL CORP,20678,30231G10,61.94000,0.009946
11850,20060411,XOM,EXXON MOBIL CORP,20678,30231G10,62.00000,0.000969
11850,20060412,XOM,EXXON MOBIL CORP,20678,30231G10,61.46000,-0.008710
11850,20060413,XOM,EXXON MOBIL CORP,20678,30231G10,61.56000,0.001627
11850,20060417,XOM,EXXON MOBIL CORP,20678,30231G10,62.05000,0.007960
11850,20060418,XOM,EXXON MOBIL CORP,20678,30231G10,63.54000,0.024013
11850,20060419,XOM,EXXON MOBIL CORP,20678,30231G10,64.30000,0.011961
11850,20060420,XOM,EXXON MOBIL CORP,20678,30231G10,63.92000,-0.005910
11850,20060421,XOM,EXXON MOBIL CORP,20678,30231G10,65.00000,0.016896
11850,20060424,XOM,EXXON MOBIL CORP,20678,30231G10,64.41000,-0.009077
11850,20060425,XOM,EXXON MOBIL CORP,20678,30231G10,63.95000,-0.007142
11850,20060426,XOM,EXXON MOBIL CORP,20678,30231G10,63.10000,-0.013292
11850,20060427,XOM,EXXON MOBIL CORP,20678,30231G10,62.42000,-0.010777
11850,20060428,XOM,EXXON MOBIL CORP,20678,30231G10,63.08000,0.010574
11850,20060501,XOM,EXXON MOBIL CORP,20678,30231G10,63.42000,0.005390
11850,20060502,XOM,EXXON MOBIL CORP,20678,30231G10,64.67000,0.019710
11850,20060503,XOM,EXXON MOBIL CORP,20678,30231G10,63.77000,-0.013917
11850,20060504,XOM,EXXON MOBIL CORP,20678,30231G10,63.31000,-0.007213
11850,20060505,XOM,EXXON MOBIL CORP,20678,30231G10,64.00000,0.010899
11850,20060508,XOM,EXXON MOBIL CORP,20678,30231G10,63.71000,-0.004531
11850,20060509,XOM,EXXON MOBIL CORP,20678,30231G10,63.94000,0.003610
11850,20060510,XOM,EXXON MOBIL CORP,20678,30231G10,63.88000,0.004066
11850,20060511,XOM,EXXON MOBIL CORP,20678,30231G10,63.46000,-0.006575
11850,20060512,XOM,EXXON MOBIL CORP,20678,30231G10,62.24000,-0.019225
11850,20060515,XOM,EXXON MOBIL CORP,20678,30231G10,62.00000,-0.003856
11850,20060516,XOM,EXXON MOBIL CORP,20678,30231G10,61.96000,-0.000645
11850,20060517,XOM,EXXON MOBIL CORP,20678,30231G10,60.18000,-0.028728
11850,20060518,XOM,EXXON MOBIL CORP,20678,30231G10,59.89000,-0.004819
11850,20060519,XOM,EXXON MOBIL CORP,20678,30231G10,60.45000,0.009350
11850,20060522,XOM,EXXON MOBIL CORP,20678,30231G10,60.78000,0.005459
11850,20060523,XOM,EXXON MOBIL CORP,20678,30231G10,60.39000,-0.006417
11850,20060524,XOM,EXXON MOBIL CORP,20678,30231G10,60.10000,-0.004802
11850,20060525,XOM,EXXON MOBIL CORP,20678,30231G10,61.52000,0.023627
11850,20060526,XOM,EXXON MOBIL CORP,20678,30231G10,61.58000,0.000975
11850,20060530,XOM,EXXON MOBIL CORP,20678,30231G10,60.20000,-0.022410
11850,20060531,XOM,EXXON MOBIL CORP,20678,30231G10,60.91000,0.011794
11850,20060601,XOM,EXXON MOBIL CORP,20678,30231G10,61.11000,0.003284
11850,20060602,XOM,EXXON MOBIL CORP,20678,30231G10,61.65000,0.008837
11850,20060605,XOM,EXXON MOBIL CORP,20678,30231G10,60.05000,-0.025953
11850,20060606,XOM,EXXON MOBIL CORP,20678,30231G10,60.40000,0.005829
11850,20060607,XOM,EXXON MOBIL CORP,20678,30231G10,58.82000,-0.026159
11850,20060608,XOM,EXXON MOBIL CORP,20678,30231G10,59.57000,0.012751
11850,20060609,XOM,EXXON MOBIL CORP,20678,30231G10,58.80000,-0.012926
11850,20060612,XOM,EXXON MOBIL CORP,20678,30231G10,58.24000,-0.009524
11850,20060613,XOM,EXXON MOBIL CORP,20678,30231G10,56.65000,-0.027301
11850,20060614,XOM,EXXON MOBIL CORP,20678,30231G10,57.80000,0.020300
11850,20060615,XOM,EXXON MOBIL CORP,20678,30231G10,59.12000,0.022837
11850,20060616,XOM,EXXON MOBIL CORP,20678,30231G10,58.80000,-0.005413
11850,20060619,XOM,EXXON MOBIL CORP,20678,30231G10,57.39000,-0.023980
11850,20060620,XOM,EXXON MOBIL CORP,20678,30231G10,57.39000,0.000000
11850,20060621,XOM,EXXON MOBIL CORP,20678,30231G10,58.06000,0.011675
11850,20060622,XOM,EXXON MOBIL CORP,20678,30231G10,57.97000,-0.001550
11850,20060623,XOM,EXXON MOBIL CORP,20678,30231G10,58.10000,0.002242
11850,20060626,XOM,EXXON MOBIL CORP,20678,30231G10,58.82000,0.012392
11850,20060627,XOM,EXXON MOBIL CORP,20678,30231G10,59.65000,0.014111
11850,20060628,XOM,EXXON MOBIL CORP,20678,30231G10,61.12000,0.024644
11850,20060629,XOM,EXXON MOBIL CORP,20678,30231G10,62.37000,0.020452
11850,20060630,XOM,EXXON MOBIL CORP,20678,30231G10,61.35000,-0.016354
11850,20060703,XOM,EXXON MOBIL CORP,20678,30231G10,62.15000,0.013040
11850,20060705,XOM,EXXON MOBIL CORP,20678,30231G10,62.55000,0.006436
11850,20060706,XOM,EXXON MOBIL CORP,20678,30231G10,63.47000,0.014708
11850,20060707,XOM,EXXON MOBIL CORP,20678,30231G10,62.84000,-0.009926
11850,20060710,XOM,EXXON MOBIL CORP,20678,30231G10,63.04000,0.003183
11850,20060711,XOM,EXXON MOBIL CORP,20678,30231G10,63.98000,0.014911
11850,20060712,XOM,EXXON MOBIL CORP,20678,30231G10,63.97000,-0.000156
11850,20060713,XOM,EXXON MOBIL CORP,20678,30231G10,64.07000,0.001563
11850,20060714,XOM,EXXON MOBIL CORP,20678,30231G10,64.90000,0.012955
11850,20060717,XOM,EXXON MOBIL CORP,20678,30231G10,64.00000,-0.013868
11850,20060718,XOM,EXXON MOBIL CORP,20678,30231G10,64.61000,0.009531
11850,20060719,XOM,EXXON MOBIL CORP,20678,30231G10,64.66000,0.000774
11850,20060720,XOM,EXXON MOBIL CORP,20678,30231G10,64.25000,-0.006341
11850,20060721,XOM,EXXON MOBIL CORP,20678,30231G10,63.93000,-0.004981
11850,20060724,XOM,EXXON MOBIL CORP,20678,30231G10,65.36000,0.022368
11850,20060725,XOM,EXXON MOBIL CORP,20678,30231G10,65.74000,0.005814
11850,20060726,XOM,EXXON MOBIL CORP,20678,30231G10,66.60000,0.013082
11850,20060727,XOM,EXXON MOBIL CORP,20678,30231G10,66.47000,-0.001952
11850,20060728,XOM,EXXON MOBIL CORP,20678,30231G10,67.00000,0.007974
11850,20060731,XOM,EXXON MOBIL CORP,20678,30231G10,67.74000,0.011045
11850,20060801,XOM,EXXON MOBIL CORP,20678,30231G10,68.18000,0.006495
11850,20060802,XOM,EXXON MOBIL CORP,20678,30231G10,68.48000,0.004400
11850,20060803,XOM,EXXON MOBIL CORP,20678,30231G10,68.37000,-0.001606
11850,20060804,XOM,EXXON MOBIL CORP,20678,30231G10,68.69000,0.004680
11850,20060807,XOM,EXXON MOBIL CORP,20678,30231G10,69.23000,0.007861
11850,20060808,XOM,EXXON MOBIL CORP,20678,30231G10,69.27000,0.000578
11850,20060809,XOM,EXXON MOBIL CORP,20678,30231G10,69.29000,0.000289
